"Title","Article"
"Trump pardons 1,500 defendants of 6 Jan, exits climate pact, doubles down on fossil fuel","Donald Trump pardoned about 1,500 of his supporters who attacked the US Capitol four years ago as he moved swiftly to impose his will on the US government just hours after reclaiming the presidency on Monday. After a day of ceremony, Trump signed a series of executive actions to curb immigration and roll back environmental regulations and racial and gender diversity initiatives. He did not take immediate action to raise tariffs, a key campaign promise, but said he could impose 25% duties on Canada and Mexico on 1 February. His decision to pardon supporters who attacked the US Capitol on 6 January 2021, is sure to enrage police, lawmakers and others whose lives were put at risk during an unprecedented episode in modern US history. Roughly 140 police officers were assaulted during the attack, with some sprayed with chemical irritants and others struck with pipes, poles and other weapons. Four people died during the chaos, including a Trump supporter who was shot dead by police. Among those covered by the order were leaders of the far-right Oath Keepers and Proud Boys militant groups, who were serving long prison sentences. Earlier in the day, Trump, 78, took the oath of office in the Capitol Rotunda, where a mob of his supporters had rampaged on Jan. 6 in an unsuccessful attempt to reverse his 2020 loss to Joe Biden. At the ceremony, Trump portrayed himself as a savior chosen by God to rescue a faltering nation. His inauguration amounts to a triumphant return for a political disruptor who survived two assassination attempts and won election despite a criminal conviction and a prosecution stemming from his efforts to overturn his 2020 election loss. “I was saved by God to make America great again,” he said. Trump is the first president in more than a century to win a second term after losing the White House and the first felon to occupy the White House. The oldest president ever to be sworn in, he is backed by Republican majorities in both chambers of Congress. Trump moved quickly to clamp down on illegal immigration, a signature issue since he first entered politics in 2015. Shortly after he took the oath of office, US border authorities shut down a program that allowed hundreds of thousands of migrants to enter the US legally by scheduling an appointment through a smartphone. Existing appointments were canceled. At the White House, Trump signed an order that declared a national emergency at the US-Mexico border, which would unlock funding and allow him to dispatch troops there. He signed an order that would end a policy that confers citizenship to those born in the United States, which is certain to trigger a lengthy court fight. Another executive order designated Mexican drug cartels as terrorist organisations. “We’re getting rid of all the cancer ... caused by the Biden administration,” Trump said as he signed a stack of executive orders in the Oval Office. Other orders revoked Biden administration policies governing artificial intelligence and electric vehicles. He also imposed a freeze on federal hiring and ordered government workers to return to the office, rather than working from home. He also signed paperwork to create a “Department of Government Efficiency,” an outside advisory board headed by billionaire Elon Musk that aims to cut large swaths of government spending. In the State Department, more than a dozen nonpartisan senior diplomats were asked to resign as part of a broader plan to replace nonpartisan civil servants with loyalists. He also said he would issue orders to scrap federal diversity programs and require the government to recognise only genders assigned at birth. While Trump sought to portray himself as a peacemaker and unifier during his half-hour speech, his tone was often sharply partisan. He repeated false claims from his campaign that other countries were emptying their prisons into America and voiced familiar grievances over his criminal prosecutions. With Biden seated nearby, Trump issued a stinging indictment of his predecessor’s policies from immigration to foreign affairs. “We have a government that has given unlimited funding to the defense of foreign borders, but refuses to defend American borders, or more importantly, its own people,” Trump said. Numerous tech executives who have sought to curry favor with the incoming administration - including the three richest men in the world, Tesla and SpaceX CEO Elon Musk, Amazon founder Jeff Bezos and Meta CEO Mark Zuckerberg - had prominent seats on stage, next to cabinet nominees and members of Trump’s family. Trump said he would send astronauts to Mars, prompting Musk - who has long talked about colonizing the planet - to raise his fists. Trump vowed to change the name of the Gulf of Mexico to the Gulf of America and repeated his intention to take back control of the Panama Canal, one of several foreign policy pronouncements that have caused consternation among US allies. Trump took the oath of office to “preserve, protect and defend” the US Constitution at 12:01 p.m. ET (1701 GMT), administered by Chief Justice John Roberts. His vice president, JD Vance, was sworn in just before him. Outgoing Vice President Kamala Harris, who lost to Trump in November, was seated next to Biden in a section with former Presidents Barack Obama, George W. Bush and Bill Clinton. Former Secretary of State Hillary Clinton, who lost to Trump in 2016, sat with her husband Bill. Obama’s wife, Michelle, chose not to attend. The ceremony was moved indoors due to the extreme cold gripping much of the country. Trump skipped Biden’s inauguration and has continued to claim falsely that the 2020 election he lost to Biden was rigged. Biden, in one of his last official acts, pardoned several people whom Trump has threatened with retaliation, including General Mark Milley, a former chairman of the Joint Chiefs of Staff who Trump has suggested should be executed for holding back-channel talks with China. Milley’s portrait was removed from the Pentagon shortly after Trump’s inauguration. He also pardoned five family members minutes before leaving office, citing fears that Trump would target them."
"Ali Imam Majumdar given charge of land ministry","Food Adviser Ali Imam Majumdar has been given the additional charge of Land Ministry, The Cabinet Division issued an official notification in this regard on Monday. This move follows the passing of former Land Adviser AF Hassan Ariff who died of a heart attack on 20 December. The notification said that, in line with previous communications from the Cabinet Division dated 16 August, 27 August, and 10 November, the Chief Adviser of the Interim Government has now assigned Ali Imam Majumdar with the additional responsibility of the Ministry of Land."
"US renews pledge to support Bangladesh's interim govt","The new Charge d'affaires of the US embassy in Dhaka Tracey Ann Jacobson Monday reiterated the support of her country for the Interim Government of Bangladesh on various issues, including development and counter-terrorism. ""We are prepared as a nation to support your government on a variety of issues,"" Jacobson told Chief Adviser professor Muhammad Yunus as she called on him at the State Guest House Jamuna in Dhaka. The Chief Adviser spoke about the ongoing reform initiatives in Bangladesh, the government's efforts to build a political consensus on the July proclamation and the plan for the next general election. Regarding the July proclamation, Dr Yunus said he was expecting the political parties to reach a consensus by early February. ""So far I have not heard any dissenting voices,"" he said, calling the political exercise to build the consensus on the issue a ""tough"" one and added that the theme of the proposed proclamation is ""unity."" The Chief Adviser said the government will only play the role of a facilitator. ""My job is building a consensus. I am not pushing any idea,"" he said. He said once the political parties agreed to the reform proposals, the government would request them to sign it to create a July Charter. ""We don't know whether the contents will contain many items or a few items,"" he told the US envoy. ""It's a tough job given the varieties of opinion we have. But the process has started. Once signed, our politics will be based on the July Charter,"" he added. The US Charge d'affaires raised concerns over the arrest of some journalists and reports of some violence against religious minorities. The Chief Adviser said his government is committed to ensuring justice for everyone in the country. During the hour-long meeting, they also discussed Dhaka's ties with its neighbours, progress on resolving the Rohingya crisis, and the security situation in Myanmar. The Chief Adviser said Bangladesh values its relationship with all neighbours. ""That's how the idea of SAARC came about, and we are the initiator of it,"" he said, highlighting his recent moves to revive SAARC and transform it into a platform like the European Union. He thanked the US for providing humanitarian assistance to Rohingya refugees and sought the country's support for the repatriation of the Rohingya refugees from Bangladesh and creating a safe zone for the displaced people in Myanmar's Rakhine State. The Chief Adviser mentioned that Bangladesh is a top importer of US cotton and urged the country to import more apparel and textiles, which would mean a greater import of US cotton. Lamiya Morshed, senior secretary to SDG affairs, was also present on the occasion."
"Police, RAB, Ansar to get new uniforms","The interim government has decided to change the uniforms of Bangladesh Police, Rapid Action Battalion (RAB) and Bangladesh Ansar. Home Adviser Lieutenant General (retired) Md Jahangir Alam Chowdhury disclosed this at a press conference after a meeting of the advisory council committee on law and order at the Secretariat on Monday. Social Welfare Adviser Sharmeen Murshid and Special Assistant to Chief Adviser Khuda Baksh Chowdhury were also present at the event. A demand for reform to police rose after the fall of the Awami League government through the student-people uprising on 5 August. Demand for a change to police uniform also came to limelight. Replying to query on the reasons to change the uniforms of police, RAB and Ansar, the home adviser said it is necessary to change everyone’s mind-set and that is why uniforms of police, RAB, Ansar are going to be changed. It was revealed at the press conference that iron will the colour of police uniforms, olive for RAB and golden wheat for Ansar uniforms. Replying to query, the home adviser said the uniforms will be changed gradually. Police training will have to be changed to make the agency pro-people."
"What we know about Trump’s planned executive orders after swearing-in","Donald Trump plans to issue a flurry of executive orders and directives after he is sworn in as US president on Monday to put his stamp on his new administration on matters ranging from energy to immigration. Two sources familiar with the planning said more than 100 such orders and directives could be released starting on Day One in what is known internally as a ""shock and awe"" effort. Here is what we know about the executive orders so far: Trump plans to take a flurry of executive actions aimed at cracking down on legal and illegal immigration and ramping up deportations after he enters the White House on Monday, an incoming Trump administration official said. Trump intends to declare illegal immigration at the U.S.-Mexico border a national emergency to support the construction of a border wall and send additional troops to the border, the official said. Trump will issue a sweeping proclamation that aims to block access to all asylum at the Mexico border, the official said. He will also issue an order intended to end birthright citizenship for U.S.-born children whose parents lack legal immigration status, the official said. Citing the 14th Amendment to the U.S. Constitution, the official said in a briefing: ""The federal government will not recognize automatic birthright citizenship for children of illegal aliens born in the United States. We are also going to enhance vetting and screening of illegal aliens."" The U.S. Constitution's 14th Amendment provides for granting citizenship to ""all persons born or naturalized in the United States."" Any move by Trump to end birthright citizenship would face a legal challenge. One of Trump's orders on Monday will declare a national energy emergency aimed at ""unleashing affordable and reliable American energy,"" an official with the incoming White House said. Trump, who vowed during his campaign to ""drill, baby, drill,"" will also sign an executive order focused on Alaska, the official said, adding that the state was critical to U.S. national security and could allow exports of LNG to other parts of the United States and allies. Sources familiar with the plans of members of Trump's transition team have said that Trump is considering executive orders to target everything from electric vehicles to withdrawing again from the Paris climate agreement, an action he took in his first administration. Members of his transition team are recommending sweeping changes to cut off support for electric vehicles and charging stations and to strengthen measures blocking the import of cars, components and battery materials from China, according to a document seen by Reuters. The transition team also recommends imposing tariffs on all battery materials globally, a bid to boost U.S. production, and then negotiating individual exemptions with allies, the document shows. Trump's executive orders will also likely seek to roll back Biden's climate regulations on power plants, end his pause on liquefied natural gas exports, and revoke waivers allowing California and other states to have tighter pollution rules. Trump will issue a broad trade memo on Monday that stops short of imposing new tariffs on his first day in office, but rather directs federal agencies to evaluate U.S. trade relationships with China, Canada and Mexico, an incoming Trump administration official said. The Republican incoming president has pledged tariffs of 10% on global imports, 60 per cent on Chinese goods and a 25 per cent import surcharge on Canadian and Mexican products, duties that may upend trade flows, raise costs and draw retaliation. The official, confirming a Wall Street Journal report, said Trump will direct agencies to investigate and remedy persistent trade deficits and address unfair trade and currency policies by other nations. The memo will single out China, Canada and Mexico for scrutiny but will not announce new tariffs, the official said. It will direct agencies to assess Beijing's compliance with its 2020 trade deal with the U.S., as well as the status of the U.S.-Mexico-Canada Agreement, or USMCA, the official said. Trump believes tariffs would help boost economic growth in the United States, although opponents warn that the costs would likely be passed along to consumers. Trump will issue an executive order proclaiming that the U.S. federal government will only recognize two sexes, male and female, an incoming White House official said on Monday. Trump has vowed to sign an executive order ending transgender rights in the U.S. military and inside U.S. schools. As for transgender athletes, he told a rally on Sunday that he would act on his first day to stop the participation of trans athletes in women's sports. Trump will also issue an order ending ""radical and wasteful"" diversity, equity and inclusion programs inside the federal government, an incoming White House official said on Monday. During his first term, Trump signed an executive order to curtail efforts to address racial disparities in the workplace, through programs including diversity training inside companies. Biden reversed that executive order on his first day in office in January 2021, and Trump is likely to reinstate his original order early in his second term, and perhaps on his first day in office. Trump has also criticized ""diversity, equity and inclusion"" policies inside universities. Trump has also said he will take action immediately on taking office to issue pardons for some of the hundreds of people convicted or charged in connection with the Jan. 6, 2021, assault on the U.S. Capitol by his supporters. Trump said in a campaign video in 2023 that on his first day in office he would revoke the Biden administration's policies that provide information and resources to those seeking medical care so they can align their bodies with the gender they identify with. That care can include hormone therapy and surgery. Trump plans to classify drug cartels as foreign terrorist organizations in an early executive order, Punchbowl News reported on Sunday, fulfilling a promise he made on the campaign trail to crack down on the sources of the lethal opioid fentanyl. Trump has railed against work-from-home arrangements for tens of thousands of federal employees, which were greatly increased during the COVID-19 pandemic, and he has vowed to end them. In December, Trump said if federal workers refuse to return to the office, “they’re going to be dismissed.” By forcing government workers back into the office Trump and his allies hope it could trigger large-scale resignations, which would assist in their goal of reducing the size of the federal bureaucracy."
"Dipu Moni writes on a tissue for 5 minutes in court","It was 9:05am this morning (Monday). A large blue prison van drove up to the gates of the Chief Metropolitan Magistrates (CMM) court, whistles blowing loudly. Former education minister Dipu Moni emerged from the van. Women police escorted her into the court custody room. Former member of parliament Haji Salim and others had already been brought earlier in the morning. Around 30 minutes after Dipu Moni arrived, Haji Salim was brought out by police. He was wearing a loose white panjabi. Haji Salim smiled broadly at the press, while the police held him by the arms on either side. Behind Haji Salim emerged former information and communication technology state minister Zunaid Ahmed Palak. After that, one after the other former law minister Anisul Huq, adviser to the former prime minister Sheikh Hasina, Salman F Rahman, Bangladesh Workers Party president Rashed Khan Menon, Jatiya Samajtanktrik Dal (JASAD) president and former minister Hasanul Haque Inu and other were brought to the court room on the third floor of the CMM court. The lawyers of the accused were waiting there from beforehand. The judge came towards the court room at 9:40 am. A glum Haji Salim was placed in the dock and he started shouting. At one point the police asked that he be shown arrested in a murder case at the capital’s Jatrabari police station. Haji Salim’s legal counsel Pran Nath Roy appealed to the court to grant his client bail. He said his client could not speak and was unwell. He was arrested and put in jail for a long time. He had been at the Keraniganj central jail and received first division facilities as a member of parliament. However, he had recently been transferred to the Kashimpur jail. Lawyer Pran Nath Roy went on to tell the court that his client was not receiving any division facilities at the Kashimpur prison. The prison authorities did not understand Haji Salim’s words. He was facing a lot of problems there, The lawyer said his client would be much benefitted if the court granted him division. Dhaka Metropolitan Sessions Judge Court public prosecutor (PP) Omar Faruqui opposed the bail appeal. After hearing both sides, the court rejected the bail appeal. The court ordered to show him as arrested and send him to jail. It was 10:00 am and in the crowded court room the hearing was on for the remand petition in two cases against Anisul Huq, Salman F Rahman and others. Dipu Moni was standing in the dock at the time. In front of her was former member of parliament ABM Fazle Karim Chowdhury. Standing to her left was Hasanul Haque Inu. At one point, Dipu Moni began writing with a pen in her right hand on a tissue in her left hand. Dipu Moni continued writing her “letter” for almost five minutes and then handed it over to a person in lawyer's garb standing in front of the dock. He kept the tissue folded in his left hand and indicated to Dipu that's he's take a picture of it. After handing over the letter, Dipu Moni started talking to Zunaid Ahmed. Dipu Moni was also seen smilingly talking to Salman F Rahman. Public prosecutor Omar Faruq Faruqui told Prothom Alo that he was taking part in the hearing and the dock was at a distance from there. There were many lawyers in the court and he had not spotted the matter of Dipu Moni writing a letter. If he had seen it, he would certainly have brought the matter to the court’s attention. After all, an accused is in custody of the court and cannot speak to anyone other than his or her lawyer. Speaking to Prothom Alo, Dipu Moni’s lawyer Gazi Faisal Islam told Prothom Alo that he had not seen his client write any such letter as the court was crowded and he had been in the front of the court, busy with the hearing. The court ordered Dipu Moni to be shown arrested in two murder cases at the Jatrabari police station and sent to jail. It was seen in court that when Anisul Huq was brought into the court room, he held his two hands in front. He stood gloomily in the dock. He only spoke for some time with his lawyer. After that he stood silent in the dock. Salman F Rahman was by his side but he did not talk to him. Former IGPs Shahidul Huq and Chowdhury Abdullah Al Mamun stood close by Anisul Huq. They spoke to each other for 5-10 minutes. Rashed Khan Menon was on one side of the dock and standing at a distance from him was Hasanul Haque Inu. They did not speak to each other. They spoke to their lawyers. After the hearing, the court granted permission to take Anisul Huq, Salman F Rahman, Hasanul Haque Inu, Rashed Khan Menon and Chowdhury Abdullah Al Mamun on remand for a varying number of days. Also, Zunaid Ahmed, Fazle Karim Chowdhury and Shahidul Huq were shown arrested in various cases."
"Giasuddin Al Mamun acquitted in arms case","The High Court on Monday acquitted Giasuddin Al Mamun, a businessman and close friend of BNP acting chairman Tarique Rahman, in an arms case. The HC bench of Justice Mustafa Zaman Islam and Justice Nasreen Akter passed the order after hearing a petition. Senior Barrister Syed Ahmed stood for Mamun. Mamun was arrested on January 30 in 2007 and was released from prison on August 6, 2024. Twenty cases were filed against Mamun on charges of his alleged involvement in corruption, extortion, money laundering and tax evasion. On 26 March 2007, a case was filed against him under the Arms Act. On 3 July 2007, the court sentenced him to 10 years imprisonment in the case. A petition was filed with the High Court challenging the verdict."
"Anisul, Salman, Inu, Menon and Mamun on remand again","The court has granted permission for former law minister Anisul Huq, Bangladesh Workers Party president Rashed Khan Menon and Jatiya Samajtantrik Dal president Hasanul Haque Inu to be taken on 10 days remand in two murder cases filed at the Jatrabari police station. Permission was also granted by the court to take on remand for interrogation Salman F Rahman, former private investment and industries advisor to the prime minister, and Chowdhury Abdullah Al Mamun on remand, former Inspector General of Police (IGP). Following an appeal from the police, the Dhaka Metropolitan Magistrate (CMM) court issued the order today, Monday. Salman F Rahman and Anisul Huq were arrested on 13 August last year after the fall of the Sheikh Hasina government in face of the student-mass uprising. Rashed Khan Menon was arrested on 22 August and Hasanul Haque Inu on 26 August. Chowdhury Abdullah Al Mamun was arrested on 3 September. Till now the court has approved of 55 days' remand for Salman Rahman in 9 cases. It has also approved of 43 days' remand for him in various other cases. Till date the court has approved of 31 days of remand for Rashed Khan Menon and 33 days of remand for Hasanul Haque Inu. According to police and court sources, police took Anisul, Salman, Menon, Inu and Mamun to court in the Zeeshan killing case filed at Jatrabari police station and sought 10 days' remand. In the meantime, the police has sought to take Anisul, Menon and Inu on 10 days' demand in the case pertaining to the murder of journalist Mehdi Hasan. Meanwhile, the lawyers of Anisul and others appealed for a rejection of the remand appeal. After hearing both sides, the court granted 10 days for Anisul, Menon and Inu to be taken on 10 days' remand, five days each for two separate murder cases. The court also granted five days remand each for Salman and Mamun to be questioned in a killing case. Former education minister Dipu Moni, food minister Kamrul Islam, former information and communication Technology state minister Zunaid Ahmad Palak, former member of parliament ABM Fazle Karim Chowdhury, Haji Selim, former IGP Shahidul Huq and former home secretary Jahangir Alam have been shown as arrested in various murder cases. Earlier today, Monday, they were taken from jail to the court. At 9:30pm they were placed in court."
"Biden pre-emptively pardons Trump foes","US President Joe Biden on Monday issued pre-emptive pardons to former Covid-19 advisor Anthony Fauci and retired general Mark Milley to shield them from “politically motivated prosecutions” under the Trump administration. In an extraordinary move in his last hours in the White House, Biden gave similar pardons to members, staff and witnesses of a US House committee probing the violent 6 January 2021 US Capitol attack by Donald Trump’s supporters. “These public servants have served our nation with honor and distinction and do not deserve to be the targets of unjustified and politically motivated prosecutions,” Biden said in a statement. “These are exceptional circumstances, and I cannot in good conscience do nothing.” Trump, who will be sworn in on Monday, has repeatedly promised “retribution” against his political opponents and threatened some with criminal prosecution. Fauci became the face of the country’s fight against the Covid pandemic, but his straight-talking takes on the disease in Trump’s first term brought him into conflict with the Republican. It also turned the scientist into a hate figure for many on the right, including Elon Musk, Trump’s ally and the world’s richest man, who repeatedly called for Fauci to be prosecuted. Trump was enraged after Milley, who was chairman of the Joint Chiefs of Staff during Trump’s first term, told journalist Bob Woodward that Trump was “fascist to the core” and “the most dangerous person to this country.” Milley also revealed that he had secretly called his Chinese counterpart after the Capitol attack to reassure Beijing that the United States remained “stable” and had no intention to attack China. Trump subsequently wrote on his Truth Social network that “in times gone by, the punishment would have been DEATH!” for Milley. The members of the January 6 committee meanwhile include fierce Trump critic and former Republican congresswoman Liz Cheney, the daughter of former vice-president Dick Cheney. “Baseless and politically motivated investigations wreak havoc on the lives, safety, and financial security of targeted individuals and their families,” wrote Biden. The Democrat added that the pardons “should not be mistaken as an acknowledgment that any individual engaged in any wrongdoing, nor should acceptance be misconstrued as an admission of guilt for any offense.” Trump has repeatedly complained of being the victim of “lawfare” under the Biden administration, after being criminally prosecuted for offenses including trying to subvert the 2020 election."
"Govt to buy sound grenades, teargas shells for BGB to use at border: Home Adviser ","The government has decided to procure sound grenades and teargas shells for the Border Guard Bangladesh (BGB) to use at the border. Home Adviser Lieutenant General (retired) Md Jahangir Alam Chowdhury disclosed this at a press conference after a meeting of the advisory council committee on law and order at the Secretariat on Monday. The home adviser said India’s Border Security Force (BSF) was seen using sound grenades and teargas shells along the Bangladesh-India border in Chapainawabganj recently, but BGB does not possess any sound grenades and teargas shells. They only possess lethal weapons. In this situation, a decision has been taken to procure sound grenades and teargas shells for the BGB and they will use those when the situation demands, he added. The home adviser further said the border, however, remains calm now. Referring to the stay of illegal immigrants in Bangladesh, adviser Jahangir Alam said many foreigners have been living in Bangladesh illegally as their visa expired. However, the number of illegal immigrants decreased to 33,638 from 49,226 and the government earned Tk 100 million from the application fees to legalise their stay, he added. Those who helped immigrants stay illegally in the country will face action, Jahangir Alam warned."
"Trump signs order to pull US from WHO, citing funding disparities","President Donald Trump on Monday signed an executive order directing the United States to withdraw from the World Health Organisation (WHO), a body he has repeatedly criticised over its handling of the Covid-19 pandemic. Speaking at the White House hours after his inauguration, Trump said the United States was paying far more to the UN body compared to China, adding: “World Health ripped us off.” The United States, the largest donor to the Geneva-based organization, provides substantial financial support that is vital to the WHO’s operations. Its withdrawal is expected to trigger a significant restructuring of the institution and could further disrupt global health initiatives. This marks the second time Trump has sought to sever ties with the WHO. During his first term, the United States issued a notice of intent to withdraw, accusing the organization of being overly influenced by China during the pandemic’s early stages. That move was later reversed under former president Joe Biden’s administration. In his new executive order, Trump directed agencies to “pause the future transfer of any United States Government funds, support, or resources to the WHO” and to “identify credible and transparent United States and international partners to assume necessary activities previously undertaken by the WHO.” The administration also announced plans to review and rescind Biden’s 2024 US Global Health Security Strategy, which was designed to prevent, detect, and respond to infectious disease threats, “as soon as practicable.” The timing of the US withdrawal comes amid mounting fears over the pandemic potential of the current bird flu outbreak (H5N1), which has infected dozens and claimed one life in the United States. Meanwhile, WHO member states have been negotiating the world’s first treaty on pandemic prevention, preparedness, and response since late 2021 -- negotiations now set to proceed without US participation."
"Dhaka greets Trump marking his inauguration","Dhaka Monday extended greetings to Donald Trump who was set to be sworn-in for a second term as president of the United States of America (USA) within a few hours in Washington DC. “Honorable Chief Adviser (Muhammad Yunus) had sent a congratulatory message to Mr. Donald Trump upon his election as the President of the United States. In that message, the Chief Adviser expressed firm belief that both nations would work together to explore new avenues of cooperation,” read a message of Bangladesh foreign ministry that was shared with the media. The message read, “We reaffirm that belief and extend our best wishes to Mr. Donald Trump as he begins his new term.” In a ceremony moved indoors because of bitterly cold weather, Trump will take the oath of office in the Rotunda of the Capitol in Washington DC. “I am delighted to convey, on behalf of the government and the people of Bangladesh, my heartfelt felicitations to you on your victory in the US Presidential Election 2024,” Chief Adviser Professor Muhamamd Yunus said in a congratulatory message to Trump after his win in the US election in November last year. “Electing you as the US President for a second term reflects that your leadership and vision have resonated with the people of the United States of America. I am confident that under your stewardship, the United States will thrive and continue to inspire others around the world,” the message read. Dr Yunus said Bangladesh and the US share a long history of friendship and collaboration across numerous areas of mutual interest. The relationship continued to grow in depth and breadth during Trump’s previous term in the office, he said. The chief adviser said he firmly believes that the possibilities are endless as the two friendly nations work towards exploring newer avenues of partnership."
"Tech billionaires take center stage at Trump inauguration","Tech billionaires including Elon Musk, Mark Zuckerberg and Jeff Bezos were given prime positions at Donald Trump's inauguration Monday, in an unprecedented demonstration of their power and influence on US politics. Musk, Bezos and Zuckerberg are the world's three richest people, according to Forbes. Google co-founder Sergey Brin, who also attended, ranks seventh. US tech tycoons have spent the weeks since the election courting favor with Trump, marking a dramatic shift from Silicon Valley's more hostile response to his first term as president four years ago. Attendees also included Apple CEO Tim Cook and Google CEO Sundar Pichai. TikTok CEO Shou Chew sat in the back row of the stage, even as his platform's future remains uncertain. Trump later in the day ordered a 75-day pause on enforcing a law that would effectively ban TikTok in the United States. Despite highly limited seating after the ceremony was moved indoors due to bad weather, Meta CEO Zuckerberg attended with his wife Priscilla Chan, while Amazon executive chairman Bezos was accompanied by his fiancee, Lauren Sanchez. ""When the three wealthiest men in America sit behind Trump at his inauguration, everyone understands that the billionaire class now controls our government,"" left-wing US Senator Bernie Sanders said in a social media post. The tech titans' prominent positions on the inauguration stage was particularly notable for Zuckerberg, whom Trump had threatened with life imprisonment just months ago. The Meta chief recently made headlines by brashly aligning his company's policies with Trump's conservative worldview, notably by eliminating fact-checking in the United States and relaxing hate speech restrictions on Facebook and Instagram. Musk has shown the strongest support for Trump, spending USD 277 million to help him and other Republicans win November's election while transforming his X platform into an amplifier for pro-Trump voices. Bezos, like Zuckerberg and his peers, has visited Trump's Mar-a-Lago estate in Florida leading up to the inauguration, with favorable treatment, government contracts and reduced regulatory scrutiny for Amazon at stake. As owner of The Washington Post, Bezos sparked controversy by blocking the newspaper's planned endorsement of Democratic Vice President Kamala Harris for the 2024 presidential election, triggering newsroom protests and subscriber cancellations. Musk has been named a leader of the so-called Department of Government Efficiency to advise the White House on cuts to public spending and has spent much of the past two months at Mar-a-Lago.  While Musk's SpaceX is already a major government contractor, Amazon's AWS cloud computing division and Google also count the US government among their biggest clients. Google, Meta, Apple and Amazon are also fighting landmark antitrust lawsuits from the US government. ""These are very wealthy people who have basically paid for access, which is something that they would do for any upcoming administration even if we all recognize Trump is very transactional,"" said Andrew Selepak, a media professor at the University of Florida. ""They're making sure it's very clear that their faces, names, and especially their money, is here,"" he added."
"Giasuddin Al Mamun acquitted in arms case","The High Court on Monday acquitted Giasuddin Al Mamun, a businessman and close friend of BNP acting chairman Tarique Rahman, in an arms case. The HC bench of Justice Mustafa Zaman Islam and Justice Nasreen Akter passed the order after hearing a petition. Senior Barrister Syed Ahmed stood for Mamun. Mamun was arrested on January 30 in 2007 and was released from prison on August 6, 2024. Twenty cases were filed against Mamun on charges of his alleged involvement in corruption, extortion, money laundering and tax evasion. On 26 March 2007, a case was filed against him under the Arms Act. On 3 July 2007, the court sentenced him to 10 years imprisonment in the case. A petition was filed with the High Court challenging the verdict."
"Anisul, Salman, Inu, Menon and Mamun on remand again","The court has granted permission for former law minister Anisul Huq, Bangladesh Workers Party president Rashed Khan Menon and Jatiya Samajtantrik Dal president Hasanul Haque Inu to be taken on 10 days remand in two murder cases filed at the Jatrabari police station. Permission was also granted by the court to take on remand for interrogation Salman F Rahman, former private investment and industries advisor to the prime minister, and Chowdhury Abdullah Al Mamun on remand, former Inspector General of Police (IGP). Following an appeal from the police, the Dhaka Metropolitan Magistrate (CMM) court issued the order today, Monday. Salman F Rahman and Anisul Huq were arrested on 13 August last year after the fall of the Sheikh Hasina government in face of the student-mass uprising. Rashed Khan Menon was arrested on 22 August and Hasanul Haque Inu on 26 August. Chowdhury Abdullah Al Mamun was arrested on 3 September. Till now the court has approved of 55 days' remand for Salman Rahman in 9 cases. It has also approved of 43 days' remand for him in various other cases. Till date the court has approved of 31 days of remand for Rashed Khan Menon and 33 days of remand for Hasanul Haque Inu. According to police and court sources, police took Anisul, Salman, Menon, Inu and Mamun to court in the Zeeshan killing case filed at Jatrabari police station and sought 10 days' remand. In the meantime, the police has sought to take Anisul, Menon and Inu on 10 days' demand in the case pertaining to the murder of journalist Mehdi Hasan. Meanwhile, the lawyers of Anisul and others appealed for a rejection of the remand appeal. After hearing both sides, the court granted 10 days for Anisul, Menon and Inu to be taken on 10 days' remand, five days each for two separate murder cases. The court also granted five days remand each for Salman and Mamun to be questioned in a killing case. Former education minister Dipu Moni, food minister Kamrul Islam, former information and communication Technology state minister Zunaid Ahmad Palak, former member of parliament ABM Fazle Karim Chowdhury, Haji Selim, former IGP Shahidul Huq and former home secretary Jahangir Alam have been shown as arrested in various murder cases. Earlier today, Monday, they were taken from jail to the court. At 9:30pm they were placed in court."
