Title,Article,topic,topic_name
We want to know the government's economic plan,"easy, difficult, path, increase, revenue, easy, path, raise, import, duty, valueadded, tax, vat, difficult, path, income, tax, collection, interim, government, choose, easy, path, question, arise, government, need, raise, vat, supplementary, duty, product, halfway, fiscal, year, government, opt, easy, path, alternative, answer, question, let, recall, key, event, bangladeshs, economic, history, instance, april, awami, league, government, declare, taka, note, obsolete, month, late, exchange, rate, taka, british, pound, drastically, change, value, pound, tk, increase, tk, devaluation, cent, ziaur, rahman, come, power, act, economic, adviser, finance, ministry, increase, price, fertilizer, budget, fiscal, year, reduce, subsidy, agriculture, impose, tax, agriculture, fiscal, year, finance, minister, saifur, rahman, significant, change, tax, structure, month, half, budget, pass, reduce, import, duty, product, cent, change, budget, rare, incident, awami, league, government, raise, fuel, price, time, electricity, price, time, water, price, timesin, recent, year, major, economic, crisis, begin, onset, ukraine, war, dollar, price, surge, inflation, pressure, increase, context, august, government, raise, fuel, price, cent, government, step, invite, high, inflation, pressure, inflation, persist, late, development, occur, january, government, issue, ordinance, raise, vat, supplementary, duty, product, question, arise, connection, event, let, explore, tajuddin, ahmads, resignation, dr, azizur, rahman, mallik, finance, minister, awami, league, government, main, decision, relate, fulfill, condition, international, monetary, fund, imf, loan, bangladesh, receive, imf, loan, june, loan, july, accord, world, bank, report, publish, march, title, bangladesh, current, economic, performance, shortterm, prospect, cent, devaluation, taka, economic, reform, imfs, loan, programme, ziaur, rahman, power, world, bank, report, state, new, government, continue, imf, programme, commit, reduce, subsidy, impose, tax, agriculture, liberalise, import, turn, condition, consistently, fulfill, massive, reduction, import, duty, condition, obtain, million, development, support, credit, dsc, loan, world, bank, vice, president, world, bank, south, asia, region, prof, praful, c, patel, meet, finance, minister, saifur, rahman, july, year, discuss, reduce, duty, exchange, loan, awami, league, come, power, finance, minister, abul, maal, abdul, muhith, seek, loan, imf, grant, april, loan, agreement, fuel, water, gas, price, regularly, raise, global, oil, price, drop, barrel, barrel, year, government, low, fuel, price, prioritize, ease, burden, ordinary, people, overall, bangladesh, loan, imf, fulfill, numerous, condition, finance, minister, government, publicly, acknowledge, budget, speech, mention, russiaukraine, war, begin, finance, minister, ahm, mustafa, kamal, write, imf, july, request, loan, subsequently, fuel, price, increase, cent, august, year, follow, cent, increase, water, price, november, imf, initial, approval, loan, final, decision, june, follow, year, condition, loan, pass, implement, new, vat, supplementary, duty, law, fulfill, condition, new, vat, law, pass, parliament, november, delay, pressure, businesspeople, imf, delay, release, fund, government, promise, implement, law, july, election, promise, final, installment, imf, loan, release, law, come, effect, national, electionsalthough, new, vat, law, implement, provision, original, law, drop, appease, stakeholder, original, vat, rate, set, cent, new, law, break, rate, bangladesh, bank, current, governor, ahsan, h, mansur, time, describe, new, law, old, wine, new, bottle, law, significantly, contribute, increase, countrys, revenue, secure, imf, loan, interim, government, revise, vat, law, january, government, raise, duty, tax, product, time, single, vat, rate, good, service, reinstate, accord, price, law, true, interim, government, inherit, imf, loan, condition, government, seek, additional, billion, crore, imf, december, imf, team, visit, bangladesh, recommend, increase, revenue, cent, gdp, tax, duty, product, raise, government, acknowledge, imfs, condition, policymaker, claim, change, negative, impact, market, reality, different, year, bangladesh, low, taxtogdp, ratio, world, increase, revenue, crucial, time, import, duty, major, source, revenue, vat, place, vat, indirect, tax, burden, fall, consumer, ideal, way, increase, revenue, direct, tax, income, tax, bangladesh, face, challenge, government, collect, income, tax, powerful, wealthy, choose, easy, path, collect, indirect, tax, interim, government, follow, path, government, inherit, fragile, economy, fix, overnight, easy, essential, understand, government, steer, economy, right, direction, priority, areit, true, past, month, government, positive, decision, regard, economy, people, investor, trust, government, action, inflation, decrease, investment, increase, clear, high, inflation, vat, increase, difficult, regain, people, trust, path, interim, government, office, august, month, day, current, fiscal, year, begin, government, nearly, entire, fiscal, year, implement, budget, state, economy, government, inherit, implement, budget, difficult, task, expect, finance, ministry, provide, economic, review, end, december, update, public, budget, implementation, economist, debapriya, bhattacharya, head, white, paper, draft, committee, recommend, midterm, review, economy, allow, public, understand, current, economic, situation, measure, impact, need, remain, month, fiscal, year, main, allegation, previous, authoritarian, government, poor, economic, management, adhoc, handle, economy, structure, consultation, discussion, economist, expert, hope, current, government, form, consultation, group, expert, investor, address, economic, issue, especially, criticize, matter, previous, government, charge, raise, vat, right, way, increase, revenue, way, fund, high, allowance, come, vat, increase, delay, negotiation, imf, interest, rate, policy, government, plan, rehabilitate, lose, employmentdiscussions, matter, increase, transparency, government, work, people, understand, government, goal, know, transparency, deep, relationship, trust, discussion, underway, regard, outline, election, reform, current, situation, equally, important, know, economic, roadmap, government, economic, plan, june, know, economic, situation, improve, inflation, pressure, decrease, employment, income, increase, people, little, interest, reform, shawkat, hossain, head, online, prothom, alo, column, appear, print, online, edition, prothom, alo, rewrite, english, edition, rabiul, islam",6,Economics and Financial Policies
A White Paper that delves into grey areas,"tough, tough, exactly, describe, situation, bangladesh, moment, thing, tough, tough, interim, government, plague, protest, pressure, conglomeration, problem, plate, tough, plough, situation, thats, question, air, nowadays, postuprising, high, expectation, somewhat, temper, general, sense, trepidation, sense, concern, underlie, symposium, recently, hold, white, paper, center, economic, management, reform, national, budget, feelgood, sense, businesspersons, academic, politician, economist, social, scientist, student, participant, audience, actually, voice, apprehension, vent, frustration, offer, bouquet, brickbats, equal, aplomb, end, proverbial, guillotine, daylong, event, throw, food, think, erudite, speaker, offer, forensic, analysis, white, paper, state, bangladesh, economy, prepare, committee, leadership, dr, debapriya, bhattacharya, importantly, focus, conundrum, veteran, economist, professor, rehman, hit, crux, problem, havent, diagnose, problem, malfunction, nonfunctioning, regime, year, economy, certainly, impact, debt, default, crony, capitalism, problem, deep, default, integrate, business, culture, advice, interim, government, good, use, time, come, prospective, solution, halfjokingly, question, mirza, fakhrul, islam, alamgir, hurry, election, youll, face, massive, problem, let, interim, government, sort, thing, bnp, secretary, general, mirza, fakhrul, islam, alamgir, exude, confidence, characteristically, smile, countenance, intimate, let, politician, job, politician, point, party, year, ago, tout, state, repair, reform, change, contain, point, upbeat, political, reform, economic, reform, rev, meet, public, aspiration, change, symposium, end, note, camaraderie, kudo, dr, debapriya, team, galaxy, personality, delve, nittygritty, countrys, economy, way, ahead, sweet, coat, bitter, pill, government, leave, swallow, criticism, harsh, time, response, discussion, debate, debapriya, interim, government, successfully, expose, malfeasance, past, government, magnitude, damage, economy, task, stabilise, macroeconomy, come, effective, reform, agendum, deftly, conduct, discussion, prod, speaker, prepare, presentation, leave, layperson, little, wise, expert, fodder, ponder, presentation, economist, dr, zahid, hussain, task, dissect, myth, fast, grow, economy, point, growth, estimate, base, correlate, average, cent, annually, fy, period, compare, cent, average, report, officially, reason, decline, state, economy, global, supply, bottleneck, misguide, policy, accelerate, capital, flight, political, uprising, political, disruption, flood, dr, hussain, feel, inaction, government, address, economic, problem, high, cost, way, forward, depend, policy, monetary, exchange, rate, fiscal, bank, energy, business, regulation, international, trade, taxation, public, expenditure, education, health, politic, commitment, economic, reform, nature, ability, cope, extreme, weather, event, member, custom, national, board, revenue, md, farid, uddin, nbr, reform, advisory, committee, recommend, good, tax, policy, good, reform, policy, management, leadership, holistic, digitalise, system, nbr, regulatory, body, importantly, political, commitment, echo, sentiment, high, public, mind, cant, vat, decrease, specifically, echo, mind, business, community, syed, nasim, manzoor, come, hard, government, present, state, flux, consumer, confidence, low, investor, confidence, nil, cost, business, remain, bone, contention, dr, masrur, reaz, chairman, ceo, policy, exchange, bangladesh, point, systematic, investment, promotion, strategy, market, intelligence, need, strengthen, optimistic, albeit, cautiously, optimistic, note, commerce, advisor, sheikh, bashir, uddin, change, manifestation, opportunity, certainly, reflect, interim, government, mantra, change, reform, remind, flounder, accrue, criminalise, institution, government, forge, ahead, effort, tcb, programme, marginalise, poor, effective, manner, address, immediate, need, public, sense, logical, explanation, symposium, speech, translate, food, poor, man, plate, misgiving, linger, come, vital, sector, energy, power, dr, tamim, vice, chancellor, iub, professor, buet, point, previous, regime, power, nexus, manipulate, policy, corruption, maximum, illegal, transaction, place, underhand, deal, geopolitical, influence, project, approval, energy, expert, bpdb, single, buyer, executioner, upstream, regulator, producer, easily, control, manipulate, ministry, political, master, way, forward, evaluation, current, status, prudent, transition, plan, require, ensure, energy, security, include, rigorous, onshoreoffshore, exploration, restructure, power, energy, sector, emphasis, renewable, energy, reduction, system, loss, cross, border, trade, operational, efficiency, interim, government, start, change, economist, professor, anu, muhammads, pragmatic, stance, professor, jahangirnagar, university, point, hasinas, government, obviously, support, base, need, eye, development, miracle, vendor, bureaucratic, black, hole, institutional, destruction, bad, financial, destruction, government, need, play, strong, role, restore, institution, critical, world, bank, adb, imf, prescription, promote, decrease, subsidy, increase, price, early, event, tasneem, siddiqui, professor, political, science, dhaka, university, found, chair, refugee, migratory, movement, research, unit, rmmru, point, remittance, migrant, worker, total, imf, loan, migrant, face, high, migration, cost, asia, increase, budget, allocation, sector, reiterate, interim, government, thrust, professor, lutfey, siddiqui, special, envoy, international, affair, chief, advisor, deliver, quality, service, people, aim, end, reform, reform, mean, end, stress, need, change, fundamental, culture, way, work, lot, symposium, stalwart, expert, field, cpd, dr, mustafizur, rahman, sanems, dr, selim, raihan, adviser, sharmeen, murshid, foreign, friend, deliberate, problem, solution, dr, debapriya, team, come, white, paper, delve, grey, area, hitherto, sweep, carpet, room, dissection, discussion, debate, despite, difference, difficulty, surface, come, away, event, sense, hope, dark, cloud, people, look, good, bangladesh",2,Politics and Policy
Displaced Gazans head home through rubble as Israel-Hamas truce begins,"thousand, displace, warweary, gazans, set, devastate, palestinian, territory, return, home, sunday, longawaited, truce, israel, hamas, effect, follow, initial, delay, ceasefire, begin, nearly, hour, late, schedule, time, israels, military, continue, operate, gaza, territorys, civil, defence, agency, report, people, kill, wound, bombardment, thousand, gazans, carry, tent, clothe, personal, belonging, head, home, month, war, displace, vast, majority, territorys, population, case, northern, area, jabalia, gazans, stream, sandy, path, return, apocalyptic, landscape, dot, pile, rubble, destroy, building, main, southern, city, khan, yunis, people, celebrate, pend, homecoming, im, happy, wafa, alhabeel, want, kiss, grind, soil, gaza, long, gaza, city, long, love, truce, schedule, begin, gmt, lastminute, dispute, list, hostage, free, day, lead, holdup, qatar, mediator, truce, late, confirm, effect, hostage, miss, family, forum, campaign, group, identify, woman, set, release, emily, damari, romi, gonen, doron, steinbrecher, hamas, wait, israel, furnish, list, contain, prisoner, category, woman, child, release, day, total, hostage, militant, hamass, october, attack, israel, return, gaza, initial, day, truce, exchange, palestinian, israeli, custody, truce, intend, pave, way, permanent, end, war, phase, finalise, follow, deal, strike, mediator, qatar, unite, state, egypt, month, negotiation, televise, address, saturday, netanyahu, day, phase, temporary, ceasefire, israel, support, return, war, necessary, gaza, city, good, ceasefire, effect, people, celebrate, wave, palestinian, flag, street, clear, truce, delay, joy, way, desperation, play, emotion, exhaust, maha, abed, yearold, displace, rafah, israeli, army, warn, gaza, resident, early, sunday, approach, force, israeli, territory, urge, head, buff, zone, idf, force, safety, military, spokesman, avichay, adraee, telegram, add, south, north, gaza, valley, risk, israel, ceasefire, meet, guard, optimism, trust, taxi, driver, david, gutterman, moment, problem, pop, im, happy, shai, zaik, employee, tel, avivs, art, museum, mix, feeling, hope, hostage, return, disappointment, year, wont, believe, happen, hostage, eye, happy, hope, israel, prepare, reception, centre, provide, medical, treatment, counsel, free, hostage, return, family, long, ordeal, truck, wait, gaza, border, poise, enter, egypt, soon, allclear, deliver, desperately, need, aidsome, truck, load, prefabricate, house, egyptian, foreign, minister, badr, abdelatty, truck, day, enter, gaza, ceasefire, effect, include, carry, fuel, war, previous, truce, week, november, release, hostage, hold, militant, exchange, palestinian, prisoner, hamass, october, attack, deadly, israels, history, result, death, people, civilian, accord, afp, tally, israeli, official, figure, people, hostage, gaza, include, israeli, military, dead, israels, retaliatory, campaign, destroy, gaza, kill, people, civilian, accord, figure, hamasrun, territorys, health, ministry, unite, nation, consider, reliable, truce, effect, eve, donald, trump, inauguration, term, president, unite, state, trump, claim, credit, ceasefire, deal, month, effort, outgoing, administration, president, joe, biden, tell, network, nbc, saturday, tell, netanyahu, war, end, want, end, brett, mcgurk, pointman, outgoing, president, joe, biden, join, region, trump, envoy, steve, witkoff, unusual, pair, finalise, agreement, official, deal, israeli, force, withdraw, densely, populate, area, gaza, allow, displace, palestinian, return, residence, qatars, prime, minister, announce, deal",4,Conflict and International Relations
"MBBS admission test results published, pass rate 45.62pc","result, mbbs, admission, test, government, private, medical, college, session, publish, sunday, afternoon, result, publish, pm, pass, rate, year, cent, candidate, pass, admission, test, student, primarily, select, government, medical, college, country, directorate, general, medical, education, dgme, additional, director, general, medical, education, professor, rubina, yasmin, tell, prothom, alo, decision, publish, result, meet, noon, today, late, result, publish, pm, candidate, learn, result, mbbs, admission, test, website, know, result, dgme, website, apart, message, send, phone, numb, candidate, use, application",5,Finance and Infrastructure
Dhaka’s air pollution in 2024 highest in 9 years,"air, pollution, country, increase, city, bear, brunt, crisis, dhaka, particular, record, high, level, air, pollution, year, alarmingly, cent, annual, death, cause, air, pollution, bangladesh, occur, resident, dhaka, chattogram, trouble, scenario, emerge, separate, study, conduct, centre, atmospheric, pollution, study, cap, bangladesh, finlandbased, independent, research, organisation, center, research, energy, clean, air, crea, cap, analyse, air, quality, datum, dhaka, span, year, finding, reveal, average, air, pollution, level, cent, high, previous, year, monthly, average, exceed, prior, year, air, pollution, level, increase, cent, compare, average, pm, levela, measure, fine, particulate, matterin, dhaka, year, high, record, year, air, quality, level, fall, unhealthy, category, pose, significant, risk, public, health, explain, rise, pollution, cap, chairman, professor, ahmed, kamruzzaman, majumder, cite, contribute, factor, phone, interview, prothom, alo, saturday, point, increase, dust, sand, dispersion, open, elevate, expressway, resurgence, halt, construction, project, additionally, excavation, work, unfit, vehicle, road, noncompliance, construction, regulation, worsen, situation, despite, positive, initiative, professor, kamruzzaman, criticise, government, failure, adequately, control, pollution, crea, highlight, severe, impact, air, pollution, public, health, research, paper, release, yesterday, national, press, club, research, jointly, conduct, crea, cap, present, press, conference, jamie, kelly, member, research, team, participate, virtually, deliver, finding, study, conduct, use, satellite, datum, international, database, government, website, datum, highlight, devastate, impact, air, pollution, bangladesh, accord, finding, death, prevent, annually, air, pollution, effectively, control, child, age, particularly, vulnerable, life, potentially, save, year, mitigate, pollution, research, detail, specific, health, consequence, cause, air, pollution, estimate, death, heart, disease, death, brain, hemorrhage, death, copd, chronic, obstructive, pulmonary, disease, death, pneumonia, low, respiratory, tract, infection, death, lung, cancer, avoid, annually, air, pollution, control, addition, impact, mortality, air, pollution, impose, significant, health, economic, burden, approximately, individual, require, emergency, hospital, visit, year, pollutionrelated, illness, asthma, study, reveal, million, work, day, lose, annually, pollution, furthermore, cause, premature, birth, year, infant, suffer, low, birth, weight, exposure, pollute, air, finding, suggest, eliminate, air, pollution, reduce, annual, mortality, rate, cent, air, pollution, severe, urban, area, cent, death, cause, air, pollution, occur, dhaka, chattogram, city, study, find, air, pollution, level, low, rural, coastal, region, study, identify, key, source, air, pollution, include, emission, industry, power, plant, vehicle, good, pollution, construction, activity, burn, waste, additionally, seasonal, dust, storm, pollute, air, neighbour, country, highlight, contribute, factor, bangladeshs, air, pollution, daniel, nesan, southeast, asia, analyst, crea, lead, researcher, study, emphasise, slight, improvement, air, quality, lead, significant, health, benefit, national, scale, environment, victim, development, activity, previous, government, bangladesh, institute, planner, bip, president, professor, adil, muhammad, khan, address, medium, conference, interim, government, ask, question, development, narrative, past, government, adil, muhammad, khan, allege, industry, set, residential, area, cropland, instead, designate, industrial, area, government, form, relation, unscrupulous, businesspersons, bip, president, state, allegation, big, businesspersons, pollute, environment, government, power, arrest, businesspersons, charge, instead, grant, big, polluter, favour, july, mass, uprising, context, air, pollution, curb, sprinkle, water, street, mention, dhakas, air, pollution, situation, red, concern, tapan, kumar, biswas, additional, secretary, environment, climate, change, affair, ministry, ministry, official, authority, run, mobile, court, curb, pollution, state, department, environment, doe, monitor, air, pollution, situation, regularly, plan, introduce, environmentfriendly, stove, nayoka, martinezbckstrm, secretary, deputy, head, development, cooperation, embassy, sweden, dhaka, air, pollution, major, critical, problem, main, city, bangladesh, public, transport, like, metrorail, play, role, curb, air, pollution, interest, work, bangladesh, public, transport, sector, centre, law, policy, affair, secretary, syed, mahbubul, alam, mention, directive, government, curb, air, pollution, follow, government, private, construction, work",7,Environment and Urban Issues
Mediator Qatar confirms Gaza ceasefire begins,"mediator, qatar, sunday, confirm, start, truce, israel, hamas, initial, hostage, free, hold, foreign, citizenship, confirm, hostage, release, today, hand, israeli, israeli, citizen, hold, romanian, citizenship, british, citizenship, ceasefire, begin, qatars, foreign, ministry, spokesman, majed, alansari, statement",4,Conflict and International Relations
Arrest warrant against Shakib Al Hasan,"court, order, arrest, warrant, issue, member, parliament, mp, cricketer, shakib, al, hasan, additional, chief, metropolitan, magistrate, acmm, dhaka, chief, metropolitan, magistrate, cmm, court, ziadur, rahman, order, today, sunday, plaintiff, case, ific, bank, relationship, officer, shahidur, rahman, confirm, news, prothom, alo, follow",8,Governance and Administration
Commission considers proposal for four provinces in the country,"public, administration, reform, commission, deliberate, proposal, divide, countrys, original, division, province, potentially, hand, management, issue, include, national, security, province, wednesday, reform, commission, constitutional, electoral, police, anticorruption, reform, submit, report, chief, adviser, professor, muhammad, yunus, public, administration, reform, commission, submit, report, head, member, present, event, provide, glimpse, prospective, recommendation, include, idea, form, province, accord, inform, source, commission, possible, recommendation, creation, provincesdhaka, chattogram, rajshahi, khulnaas, broad, strategy, decentralisation, detail, management, structure, function, province, remain, undecided, member, commission, state, proposal, discussion, phase, final, recommendation, proposal, involve, constitutional, change, specific, determine, idea, create, multiple, province, bangladesh, new, onemonth, anniversary, interim, government, adviser, sakhawat, hossain, write, article, title, time, state, repair, propose, creation, province, article, publish, prothom, alo, hossain, emphasise, need, decentralisation, country, population, approximately, million, populous, world, despite, small, geographical, size, bangladesh, benefit, divide, province, adopt, federal, structure, accord, hossain, province, establish, eastern, region, west, encompass, great, dhaka, metropolitan, dhaka, remain, central, rule, central, government, retain, control, defense, foreign, affair, border, maritime, security, communication, foreign, aid, central, government, oversee, matter, province, manage, issue, directly, local, governance, expert, professor, tofail, ahmed, support, idea, form, province, bangladesh, reason, response, sakhawat, hossains, column, pen, column, prothom, alo, express, reservation, proposal, tofail, ahmed, currently, head, local, government, reform, commission, reiterate, view, approach, yesterday, speak, prothom, alo, generally, argue, writingsand, firmly, believeis, bangladesh, geographically, small, country, large, population, significant, division, term, linguistic, geographical, factor, strengthen, local, government, empower, function, effectively, address, issue, hand, create, province, solve, problem, introduce, new, presently, bangladesh, divide, administrative, division, dhaka, chattogram, rajshahi, khulna, barishal, sylhet, rangpur, mymensingh, additionally, discussion, elevate, comilla, faridpur, divisional, status, public, administration, reform, commission, include, possibility, divide, comilla, faridpur, separate, division, draft, recommendation, report, submit, constitutional, reform, commission, january, emphasise, autonomy, local, government, institution, include, recommendation, decentralise, judiciary, establish, permanent, high, court, bench, division, grant, equal, jurisdiction, exist, high, court, division, october, cabinet, division, issue, notification, establish, reform, commission, include, public, administration, reform, commission, caretaker, government, adviser, exsecretary, abdul, muyeed, chowdhury, head, commission, initially, expect, submit, report, december, commission, receive, onemonth, extension, complete, work, december, commission, hold, viewsharing, meet, journalist, ministry, public, administration, meet, abdul, muyeed, chowdhury, member, secretary, senior, secretary, md, mokhles, ur, rahman, share, potential, recommendation, discuss, proposal, idea, cent, quota, administration, cadre, official, cent, cadre, promotion, post, deputy, secretary, proposal, suggest, exclude, education, health, sector, cadre, system, place, separate, commission, proposal, spark, significant, reaction, official, different, cadre, administration, cadre, official, strongly, oppose, recommendation, regard, promotion, quota, emphasise, unwillingness, accept, reference, rule, appellate, division, support, stance, similarly, official, education, health, sector, raise, objection, proposal, remove, field, cadre, system, reaction, considerable, uncertainty, contentious, recommendation, final, report, source, commission, reveal, discussion, quota, system, ongoing, evaluate, potential, advantage, disadvantage, maintain, remove, quota, far, discussion, matter, plan, today, sunday, approach, comment, commission, chief, abdul, muyeed, chowdhury, decline, provide, remark, subject, possible, recommendation, commission, include, abolish, police, verification, systemused, verify, identity, address, political, affiliationin, field, include, recruitment, additionally, propose, designate, officer, district, oversee, matter, right, information, act",8,Governance and Administration
"Tk 80 billion spent, yet no respite from water logging","project, aim, eradicate, waterlogging, crisis, chattogram, year, deadline, project, end, june, year, work, finish, remain, work, project, suppose, end, month, half, year, near, completion, problem, project, identify, moment, chattogram, divisional, commissioner, office, prepare, report, progress, challenge, suggestion, divisional, commissioner, md, ziauddin, submit, report, high, authority, january, report, forward, chief, adviser, principal, secretary, cabinet, secretary, power, energy, mineral, resource, ministry, secretary, personal, secretary, adviser, project, tk, billion, total, tk, billion, spend, despite, spend, huge, resident, port, city, benefit, perennial, waterlogging, problem, persist, city, water, heavy, monsoon, rain, project, finance, properly, government, face, legal, complication, evict, illegal, structure, build, bank, canal, canal, result, construction, work, land, acquisition, stall, obstacle, problem, identify, early, government, effective, step, interim, government, active, address, waterlogging, problem, chattogram, city, start, monsoon, season, direction, chief, adviser, professor, muhammad, yunus, meet, hold, january, determine, resolve, waterlogging, problem, advisersmuhammad, fouzul, kabir, khan, syeda, rizwana, hasan, farukeazamwere, present, decision, meet, hold, conference, room, power, energy, mineral, resource, ministry, responsibility, organisation, determine, early, chattogram, divisional, commissioner, hold, meet, organization, implement, project, january, advisor, hold, meet, sunday, afternoon, discuss, water, log, issue, stakeholder, muhammad, fouzul, kabir, khan, syeda, rizwana, hasan, adilur, rahman, khan, farukeazam, inspect, project, work, today, chattogram, city, corporation, mayor, shahadat, hossain, pin, hope, positive, result, regard, water, log, problem, government, initiative, chief, adviser, charge, adviser, oversee, development, hold, special, meet, chattogram, chattogram, development, authority, cda, project, canal, canal, include, project, waterlogging, problem, solve, cent, project, cda, implement, project, city, corporation, water, development, board, despite, involvement, organisation, heavy, rainfall, tidal, water, inundate, city, time, monsoon, season, report, project, require, tk, billion, infrastructure, development, land, acquisition, defrayedamong, project, project, worth, tk, billion, title, reexcavation, expansion, renovation, development, canal, reduce, waterlogging, chattogram, city, high, numb, problem, apart, receive, necessary, fund, notable, problem, project, fill, canal, drain, hill, cut, deforestation, despite, clean, canal, drain, fill, garbage, lack, awareness, people, complication, remove, illegal, structure, build, bank, canal, canal, area, obstacle, construction, work, lack, road, canal, engineer, construction, brigade, ecb, army, work, implementation, project, cda, project, work, progress, cent, tk, billion, spend, project, end, june, year, new, canal, excavation, project, baraipara, karnaphuli, river, approve, year, ago, implement, cost, tk, billion, end, june, year, project, term, extend, late, city, corporation, cite, obstacle, include, nonextension, term, complexity, land, acquisition, case, complexity, administrative, approval, obtain, half, acre, land, canal, maintenance, main, obstacle, road, construction, project, kalurghat, bridge, chaktai, canal, bank, karnaphuli, river, main, release, require, fund, complexity, relate, compensation, relate, land, acquisition, nonavailability, fund, procure, land, project, worth, tk, billion, suppose, end, june, progress, project, cent, water, development, board, project, title, flood, control, waterlogging, waterlogging, mitigation, drainage, development, chattogram, city, face, major, problem, nonavailability, require, allocation, problem, relate, land, acquisition, nonavailability, tk, billion, fund, period, project, cost, tk, billion, end, june, year, time, extend, meet, dhaka, attend, adviser, january, role, organisation, determine, district, administration, police, department, environment, charge, step, stop, hill, cut, city, corporation, task, cleanse, canal, drain, cda, water, development, board, ecb, army, charge, sluice, gate, prevent, tidal, surge, work, office, divisional, commissioner, hold, meet, month, coordinate, work, port, authority, look, dredge, maintain, navigability, karnaphuli, river, delowar, majumder, chairman, engineer, institution, bangladesh, ieb, chattogram, chapter, project, faulty, incomplete, problem, identify, early, effective, step, interim, government, emphasize, solve, problem, identify, special, attention, fund, allocation, resolve, case, relate, land, acquisition, waterlogging, problem, solve, effectively",1,Research and Development
"Inauguration day, Trump-style: What will happen?","year, americas, president, swear, inauguration, day, newly, elect, return, office, longestablished, ceremony, hold, amid, pageantry, shape, incoming, leader, personal, flourish, mean, inauguration, donald, trump, queue, village, people, social, medium, titan, leave, mitten, scarf, follow, lastminute, decision, inauguration, indoor, preview, pomp, circumstance, unfold, monday, trump, swear, president, constitution, mandate, new, president, term, begin, noon, january, day, fall, sunday, president, oath, office, recent, year, president, swear, enormous, temporary, platform, capitol, scenic, west, lawn, year, owe, frigid, forecast, place, inside, capitol, rotunda, oath, administer, supreme, court, chief, justice, monday, mark, john, robertss, time, officiate, trump, new, president, deliver, inaugural, address, lay, plan, year, republican, ring, term, particularly, dark, speech, evoke, american, carnage, incoming, vice, president, jd, vance, swear, particularly, trumpian, twist, republican, invite, numb, tech, titan, attend, inauguration, join, traditional, guest, cabinet, nominee, billionaires, elon, musk, jeff, bezos, mark, zuckerberg, attend, shou, chew, head, chinese, social, medium, giant, tiktok, accord, medium, trump, court, close, tie, tech, mogul, campaign, benefit, disinformation, spread, social, medium, platform, tiktok, musk, x, zuckerbergs, facebook, instagram, outgoing, president, joe, biden, attend, ceremony, despite, trump, refusal, appear, bidens, swearingin, beat, trump, live, president, bill, clinton, george, w, bush, barack, obama, attend, wife, michelle, obama, mean, hillary, clinton, trump, beat, presidential, election, addition, vice, president, kamala, harris, beat, november, head, state, traditionally, invite, trump, send, invitation, handful, foreign, leader, include, share, rightwing, politic, farright, italian, prime, minister, giorgia, meloni, attend, office, confirm, saturday, hungarys, viktor, orban, argentine, president, javier, milei, china, xi, jinping, invite, attend, crowd, size, preoccupation, trump, lastminute, switch, indoor, event, dent, brag, right, ticket, distribute, public, trump, announce, friday, frigid, temperature, mean, inauguration, shift, capitol, rotunda, accommodate, people, trump, supporter, watch, live, fee, washingtons, capital, sport, arena, hold, promise, drop, late, beautiful, experience, presidentelect, trump, prepare, sign, multiple, executive, order, early, day, office, aim, undo, biden, administration, policy, promise, pledge, launch, mass, deportation, program, increase, oil, drill, immediately, begin, pardon, january, rioter, follower, ransack, capitol, immediately, inauguration, meet, plan, official, foreign, minister, japan, india, australia, socalled, quad, biden, administration, counterweight, assertive, china, trump, inauguration, mark, lack, celebrity, power, alist, musician, associate, trump, inauguration, good, shape, country, star, carrie, underwood, sing, america, beautiful, swearingin, ceremony, perform, country, singer, lee, greenwood, patriotic, anthem, god, bless, usa, standard, trump, rally, preinauguration, rally, sunday, include, performance, village, people, serum, ymca, trump, event, staple, addition, kid, rock, billy, ray, cyrus, country, musician, include, jason, aldean, rascal, flatts, gavin, degraw, plus, village, people, perform, trump, official, inaugural, ball, trump, expect, attend, official, inaugural, gala, monday, night, dozen, plan, addition, america, great, victory, rally, sunday, capital, arena",3,Technology and Global Leadership
